Timestamp,Your Age,University Name,1. Do you use porn/masturbation to avoid or escape your feelings and problems or to alter your mood?,Q1,2. Do you feel empty or shameful after viewing pornography or masturbating and wish you could stop?,Q2,3. Have you ever promised yourself that you would never again view pornography or masturbate?,Q3,4. Have you stayed up late at night or woke up during the night to view pornography?,Q4,5. Do you worry something is wrong with you because of your sexual thoughts and feelings?,Q5,"6. Have you participated in on-line/internet sexual chats, emails, posts or in sexting?",Q6,"7. Do you find yourself viewing more and more porn, or different types of porn to feel the desired excitement?",Q7,8. Do your sexual thoughts and behaviors cause you to feel that you are unclean or unworthy?,Q8,9. Do you look for opportunities to be alone so that you can find pornography or masturbate?,Q9,10. Do you masturbate while viewing pornography?,Q10,11. Do you continue to view pornography even after encountering problems related to your viewing?,Q11,12. The thought of watching pornography makes me sexually aroused.,Q12,13. I would feel less bored if I watched pornography right now.,Q13,14. I will watch pornography as soon as I get the chance.,Q14,15. I would feel less stressed if I watched pornography right now.,Q15
1-14-2025 21:06:00,22,Ru,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-17-2025 9:05:07,21,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Agree,2,Disagree,1,Disagree,1,Disagree,1
1-17-2025 9:11:03,23,Ravenshaw University ,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Agree,2,Agree,2,Agree,2,Agree,2
1-17-2025 9:11:26,18,Ravenshaw university ,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Disagree,1,Agree,2,Agree,2
1-17-2025 9:11:28,18,Ravenshaw university ,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,Agree,2,Agree,2,Agree,2,Agree,2
1-17-2025 9:17:04,19,Ravenshaw University ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Disagree,1,Disagree,1,Disagree,1
1-17-2025 10:53:20,21,Ravenshaw,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,No,0,Yes,1,No,0,Disagree,1,Disagree,1,Disagree,1,Disagree,1
1-17-2025 11:03:34,23,Ravenshaw University ,Yes,1,Yes,1,No,0,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Disagree,1,Agree,2,Disagree,1,Agree,2
1-17-2025 11:12:50,21,Ravenshaw University ,Yes,1,No,0,No,0,No,0,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Agree,2,Agree,2,Disagree,1,Agree,2
1-17-2025 11:32:33,19,Ravenshaw university ,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Agree,2,Agree,2,Disagree,1,Agree,2
